Frequency[MHz];Amplitude RX1[mV] at pwm=100
 69.750;1059
 69.813;1057
 69.875;1059
 69.938;1052
 70.000;1064
 70.063;1071
 70.125;1071
 70.188;1069
 70.250;1054
 70.313;1069
 70.375;1054
 70.438;1066
 70.500;1062
 70.563;1057
 70.625;1064
 70.688;1052
 70.750;1057
 70.813;1062
 70.875;1054
 70.938;1064
 71.000;1059
 71.063;1059
 71.125;1057
 71.188;1057
 71.250;1057
 71.313;1066
 71.375;1054
 71.438;1057
 71.500;1057
 71.563;1049
 71.625;1042
 71.688;1062
 71.750;1042
 71.813;1047
 71.875;1047
 71.938;1049
 72.000;1040
 72.063;1049
 72.125;1052
 72.188;1044
 72.250;1052
 72.313;1047
 72.375;1044
 72.438;1052
 72.500;1062
 72.563;1044
 72.625;1052
 72.688;1044
 72.750;1037
 72.813;1052
 72.875;1052
 72.938;1059
 73.000;1049
 73.063;1054
 73.125;1044
 73.188;1052
 73.250;1064
 73.313;1062
 73.375;1059
 73.438;1057
 73.500;1044
 73.563;1054
 73.625;1054
 73.688;1062
 73.750;1064
 73.813;1069
 73.875;1064
 73.938;1062
 74.000;1047
 74.063;1059
 74.125;1059
 74.188;1062
 74.250;1059
 74.313;1059
 74.375;1057
 74.438;1057
 74.500;1054
 74.563;1062
 74.625;1069
 74.688;1062
 74.750;1062
 74.813;1052
 74.875;1054
 74.938;1057
 75.000;1079
 75.063;1091
 75.125;1074
 75.188;1071
 75.250;1059
 75.313;1057
 75.375;1059
 75.438;1057
 75.500;1057
 75.563;1059
 75.625;1062
 75.688;1047
 75.750;1062
 75.813;1057
 75.875;1054
 75.938;1044
 76.000;1047
 76.063;1052
 76.125;1052
 76.188;1049
 76.250;1040
 76.313;1059
 76.375;1032
 76.438;1047
 76.500;1037
 76.563;1047
 76.625;1049
 76.688;1044
 76.750;1042
 76.813;1035
 76.875;1037
 76.938;1044
 77.000;1042
 77.063;1040
 77.125;1047
 77.188;1044
 77.250;1044
 77.313;1057
 77.375;1120
 77.438;1154
 77.500;1176
 77.563;1135
 77.625;1118
 77.688;1076
 77.750;1047
 77.813;1049
 77.875;1040
 77.938;1047
 78.000;1044
 78.063;1052
 78.125;1049
 78.188;1054
 78.250;1052
 78.313;1044
 78.375;1052
 78.438;1054
 78.500;1042
 78.563;1049
 78.625;1042
 78.688;1049
 78.750;1049
 78.813;1052
 78.875;1047
 78.938;1052
 79.000;1054
 79.063;1049
 79.125;1054
 79.188;1054
 79.250;1052
 79.313;1059
 79.375;1069
 79.438;1074
 79.500;1081
 79.563;1083
 79.625;1074
 79.688;1049
 79.750;1059
 79.813;1054
 79.875;1049
 79.938;1054
 80.000;1054
 80.063;1049
 80.125;1059
 80.188;1057
 80.250;1054
 80.313;1057
 80.375;1049
 80.438;1049
 80.500;1044
 80.563;1054
 80.625;1057
 80.688;1062
 80.750;1062
 80.813;1062
 80.875;1088
 80.938;1303
 81.000;1447
 81.063;1511
 81.125;1501
 81.188;1435
 81.250;1401
 81.313;1218
 81.375;1086
 81.438;1054
 81.500;1044
 81.563;1054
 81.625;1054
 81.688;1047
 81.750;1049
 81.813;1042
 81.875;1044
 81.938;1037
 82.000;1040
 82.063;1042
 82.125;1049
 82.188;1032
 82.250;1035
 82.313;1040
 82.375;1044
 82.438;1044
 82.500;1032
 82.563;1042
 82.625;1040
 82.688;1035
 82.750;1040
 82.813;1044
 82.875;1040
 82.938;1035
 83.000;1040
 83.063;1044
 83.125;1040
 83.188;1035
 83.250;1032
 83.313;1040
 83.375;1040
 83.438;1040
 83.500;1037
 83.563;1044
 83.625;1037
 83.688;1044
 83.750;1047
 83.813;1047
 83.875;1047
 83.938;1047
 84.000;1049
 84.063;1044
 84.125;1049
 84.188;1047
 84.250;1049
 84.313;1049
 84.375;1052
 84.438;1047
 84.500;1044
 84.563;1052
 84.625;1049
 84.688;1049
 84.750;1052
 84.813;1052
 84.875;1054
 84.938;1049
 85.000;1049
 85.063;1049
 85.125;1044
 85.188;1049
 85.250;1057
 85.313;1057
 85.375;1059
 85.438;1047
 85.500;1052
 85.563;1052
 85.625;1059
 85.688;1054
 85.750;1064
 85.813;1057
 85.875;1052
 85.938;1044
 86.000;1032
 86.063;1040
 86.125;1047
 86.188;1057
 86.250;1059
 86.313;1052
 86.375;1062
 86.438;1120
 86.500;1318
 86.563;1520
 86.625;1564
 86.688;1625
 86.750;1657
 86.813;1596
 86.875;1494
 86.938;1193
 87.000;1074
 87.063;1052
 87.125;1054
 87.188;1049
 87.250;1052
 87.313;1037
 87.375;1054
 87.438;1042
 87.500;1042
 87.563;1057
 87.625;1049
 87.688;1049
 87.750;1052
 87.813;1047
 87.875;1047
 87.938;1040
 88.000;1037
 88.063;1047
 88.125;1047
 88.188;1037
 88.250;1042
 88.313;1035
 88.375;1040
 88.438;1040
 88.500;1037
 88.563;1059
 88.625;1035
 88.688;1044
 88.750;1037
 88.813;1042
 88.875;1042
 88.938;1040
 89.000;1037
 89.063;1032
 89.125;1047
 89.188;1037
 89.250;1052
 89.313;1047
 89.375;1040
 89.438;1042
 89.500;1044
 89.563;1049
 89.625;1044
 89.688;1044
 89.750;1044
 89.813;1054
 89.875;1052
 89.938;1049
 90.000;1035
 90.063;1044
 90.125;1044
 90.188;1049
 90.250;1049
 90.313;1049
 90.375;1054
 90.438;1054
 90.500;1066
 90.563;1049
 90.625;1049
 90.688;1032
 90.750;1040
 90.813;1047
 90.875;1059
 90.938;1052
 91.000;1042
 91.063;1047
 91.125;1052
 91.188;1042
 91.250;1057
 91.313;1047
 91.375;1059
 91.438;1054
 91.500;1042
 91.563;1052
 91.625;1042
 91.688;1044
 91.750;1049
 91.813;1054
 91.875;1052
 91.938;1040
 92.000;1044
 92.063;1047
 92.125;1040
 92.188;1054
 92.250;1057
 92.313;1044
 92.375;1049
 92.438;1040
 92.500;1049
 92.563;1049
 92.625;1032
 92.688;1044
 92.750;1042
 92.813;1040
 92.875;1037
 92.938;1040
 93.000;1040
 93.063;1032
 93.125;1035
 93.188;1035
 93.250;1044
 93.313;1040
 93.375;1040
 93.438;1040
 93.500;1030
 93.563;1027
 93.625;1042
 93.688;1037
 93.750;1044
 93.813;1044
 93.875;1040
 93.938;1030
 94.000;1037
 94.063;1040
 94.125;1040
 94.188;1037
 94.250;1032
 94.313;1042
 94.375;1040
 94.438;1040
 94.500;1037
 94.563;1032
 94.625;1037
 94.688;1042
 94.750;1035
