Frequency[MHz];Amplitude RX1[mV] at pwm=100
 69.750;1154
 69.813;1157
 69.875;1157
 69.938;1152
 70.000;1149
 70.063;1154
 70.125;1142
 70.188;1152
 70.250;1152
 70.313;1149
 70.375;1159
 70.438;1147
 70.500;1140
 70.563;1137
 70.625;1149
 70.688;1159
 70.750;1142
 70.813;1147
 70.875;1147
 70.938;1145
 71.000;1152
 71.063;1147
 71.125;1145
 71.188;1145
 71.250;1147
 71.313;1140
 71.375;1142
 71.438;1142
 71.500;1147
 71.563;1147
 71.625;1154
 71.688;1142
 71.750;1149
 71.813;1140
 71.875;1135
 71.938;1152
 72.000;1137
 72.063;1132
 72.125;1149
 72.188;1145
 72.250;1145
 72.313;1137
 72.375;1137
 72.438;1142
 72.500;1142
 72.563;1145
 72.625;1149
 72.688;1137
 72.750;1154
 72.813;1142
 72.875;1149
 72.938;1142
 73.000;1147
 73.063;1147
 73.125;1145
 73.188;1147
 73.250;1140
 73.313;1147
 73.375;1135
 73.438;1140
 73.500;1147
 73.563;1147
 73.625;1149
 73.688;1149
 73.750;1145
 73.813;1132
 73.875;1135
 73.938;1135
 74.000;1142
 74.063;1142
 74.125;1132
 74.188;1152
 74.250;1132
 74.313;1140
 74.375;1142
 74.438;1147
 74.500;1147
 74.563;1140
 74.625;1137
 74.688;1140
 74.750;1137
 74.813;1149
 74.875;1152
 74.938;1142
 75.000;1149
 75.063;1140
 75.125;1140
 75.188;1145
 75.250;1140
 75.313;1149
 75.375;1142
 75.438;1145
 75.500;1145
 75.563;1142
 75.625;1135
 75.688;1142
 75.750;1140
 75.813;1145
 75.875;1147
 75.938;1135
 76.000;1147
 76.063;1130
 76.125;1132
 76.188;1140
 76.250;1135
 76.313;1147
 76.375;1142
 76.438;1149
 76.500;1147
 76.563;1142
 76.625;1137
 76.688;1137
 76.750;1135
 76.813;1147
 76.875;1149
 76.938;1142
 77.000;1147
 77.063;1130
 77.125;1145
 77.188;1149
 77.250;1145
 77.313;1147
 77.375;1152
 77.438;1157
 77.500;1154
 77.563;1159
 77.625;1154
 77.688;1145
 77.750;1137
 77.813;1140
 77.875;1140
 77.938;1140
 78.000;1137
 78.063;1137
 78.125;1145
 78.188;1132
 78.250;1132
 78.313;1142
 78.375;1132
 78.438;1137
 78.500;1147
 78.563;1145
 78.625;1142
 78.688;1140
 78.750;1135
 78.813;1140
 78.875;1140
 78.938;1142
 79.000;1147
 79.063;1140
 79.125;1152
 79.188;1140
 79.250;1147
 79.313;1140
 79.375;1142
 79.438;1149
 79.500;1147
 79.563;1145
 79.625;1137
 79.688;1142
 79.750;1145
 79.813;1140
 79.875;1135
 79.938;1149
 80.000;1149
 80.063;1140
 80.125;1149
 80.188;1142
 80.250;1154
 80.313;1152
 80.375;1142
 80.438;1166
 80.500;1149
 80.563;1145
 80.625;1149
 80.688;1137
 80.750;1149
 80.813;1154
 80.875;1145
 80.938;1145
 81.000;1132
 81.063;1152
 81.125;1152
 81.188;1147
 81.250;1147
 81.313;1147
 81.375;1142
 81.438;1149
 81.500;1149
 81.563;1149
 81.625;1152
 81.688;1149
 81.750;1152
 81.813;1140
 81.875;1149
 81.938;1157
 82.000;1157
 82.063;1154
 82.125;1142
 82.188;1157
 82.250;1149
 82.313;1154
 82.375;1140
 82.438;1154
 82.500;1152
 82.563;1162
 82.625;1149
 82.688;1159
 82.750;1149
 82.813;1152
 82.875;1154
 82.938;1159
 83.000;1159
 83.063;1169
 83.125;1152
 83.188;1152
 83.250;1166
 83.313;1154
 83.375;1159
 83.438;1159
 83.500;1159
 83.563;1154
 83.625;1164
 83.688;1152
 83.750;1157
 83.813;1152
 83.875;1152
 83.938;1159
 84.000;1159
 84.063;1166
 84.125;1164
 84.188;1152
 84.250;1159
 84.313;1159
 84.375;1159
 84.438;1164
 84.500;1159
 84.563;1159
 84.625;1157
 84.688;1162
 84.750;1154
 84.813;1166
 84.875;1159
 84.938;1162
 85.000;1159
 85.063;1157
 85.125;1166
 85.188;1166
 85.250;1162
 85.313;1164
 85.375;1162
 85.438;1171
 85.500;1169
 85.563;1154
 85.625;1157
 85.688;1171
 85.750;1164
 85.813;1171
 85.875;1169
 85.938;1157
 86.000;1157
 86.063;1171
 86.125;1164
 86.188;1157
 86.250;1162
 86.313;1169
 86.375;1162
 86.438;1162
 86.500;1159
 86.563;1169
 86.625;1162
 86.688;1171
 86.750;1164
 86.813;1171
 86.875;1166
 86.938;1154
 87.000;1171
 87.063;1159
 87.125;1159
 87.188;1164
 87.250;1154
 87.313;1162
 87.375;1154
 87.438;1181
 87.500;1164
 87.563;1159
 87.625;1162
 87.688;1166
 87.750;1166
 87.813;1152
 87.875;1174
 87.938;1159
 88.000;1171
 88.063;1171
 88.125;1171
 88.188;1166
 88.250;1171
 88.313;1166
 88.375;1174
 88.438;1245
 88.500;1252
 88.563;1220
 88.625;1201
 88.688;1201
 88.750;1176
 88.813;1166
 88.875;1159
 88.938;1171
 89.000;1162
 89.063;1166
 89.125;1159
 89.188;1169
 89.250;1166
 89.313;1159
 89.375;1171
 89.438;1166
 89.500;1174
 89.563;1162
 89.625;1171
 89.688;1169
 89.750;1169
 89.813;1174
 89.875;1169
 89.938;1169
 90.000;1169
 90.063;1169
 90.125;1171
 90.188;1166
 90.250;1171
 90.313;1181
 90.375;1176
 90.438;1166
 90.500;1169
 90.563;1179
 90.625;1159
 90.688;1162
 90.750;1162
 90.813;1171
 90.875;1179
 90.938;1166
 91.000;1169
 91.063;1166
 91.125;1164
 91.188;1154
 91.250;1159
