Frequency[MHz];Amplitude RX1[mV] at pwm=100
 69.750;1806
 69.813;1835
 69.875;1816
 69.938;1784
 70.000;1794
 70.063;1772
 70.125;1760
 70.188;1774
 70.250;1755
 70.313;1765
 70.375;1765
 70.438;1760
 70.500;1755
 70.563;1767
 70.625;1752
 70.688;1806
 70.750;1828
 70.813;1806
 70.875;1816
 70.938;1811
 71.000;1782
 71.063;1770
 71.125;1745
 71.188;1728
 71.250;1730
 71.313;1716
 71.375;1713
 71.438;1716
 71.500;1699
 71.563;1706
 71.625;1704
 71.688;1699
 71.750;1718
 71.813;1718
 71.875;1708
 71.938;1721
 72.000;1701
 72.063;1677
 72.125;1684
 72.188;1647
 72.250;1660
 72.313;1645
 72.375;1635
 72.438;1647
 72.500;1633
 72.563;1628
 72.625;1638
 72.688;1616
 72.750;1633
 72.813;1674
 72.875;1687
 72.938;1640
 73.000;1652
 73.063;1633
 73.125;1625
 73.188;1604
 73.250;1582
 73.313;1604
 73.375;1594
 73.438;1589
 73.500;1586
 73.563;1594
 73.625;1582
 73.688;1601
 73.750;1589
 73.813;1591
 73.875;1608
 73.938;1604
 74.000;1608
 74.063;1601
 74.125;1579
 74.188;1574
 74.250;1557
 74.313;1550
 74.375;1579
 74.438;1555
 74.500;1552
 74.563;1572
 74.625;1560
 74.688;1545
 74.750;1555
 74.813;1547
 74.875;1550
 74.938;1547
 75.000;1547
 75.063;1542
 75.125;1540
 75.188;1525
 75.250;1533
 75.313;1545
 75.375;1567
 75.438;1574
 75.500;1545
 75.563;1550
 75.625;1557
 75.688;1542
 75.750;1557
 75.813;1562
 75.875;1572
 75.938;1628
 76.000;1625
 76.063;1662
 76.125;1660
 76.188;1635
 76.250;1594
 76.313;1589
 76.375;1569
 76.438;1584
 76.500;1589
 76.563;1562
 76.625;1579
 76.688;1582
 76.750;1569
 76.813;1601
 76.875;1589
 76.938;1616
 77.000;1689
 77.063;1665
 77.125;1652
 77.188;1652
 77.250;1611
 77.313;1596
 77.375;1599
 77.438;1577
 77.500;1596
 77.563;1579
 77.625;1572
 77.688;1586
 77.750;1574
 77.813;1577
 77.875;1582
 77.938;1596
 78.000;1621
 78.063;1662
 78.125;1635
 78.188;1662
 78.250;1650
 78.313;1611
 78.375;1601
 78.438;1606
 78.500;1584
 78.563;1591
 78.625;1589
 78.688;1567
 78.750;1579
 78.813;1584
 78.875;1591
 78.938;1594
 79.000;1584
 79.063;1616
 79.125;1655
 79.188;1601
 79.250;1608
 79.313;1608
 79.375;1584
 79.438;1594
 79.500;1574
 79.563;1574
 79.625;1584
 79.688;1574
 79.750;1577
 79.813;1579
 79.875;1572
 79.938;1608
 80.000;1638
 80.063;1672
 80.125;1667
 80.188;1633
 80.250;1618
 80.313;1599
 80.375;1591
 80.438;1579
 80.500;1577
 80.563;1579
 80.625;1574
 80.688;1572
 80.750;1574
 80.813;1596
 80.875;1564
 80.938;1572
 81.000;1577
 81.063;1579
 81.125;1567
 81.188;1599
 81.250;1589
 81.313;1594
 81.375;1591
 81.438;1596
 81.500;1599
 81.563;1594
 81.625;1579
 81.688;1599
 81.750;1584
 81.813;1596
 81.875;1596
 81.938;1586
 82.000;1599
 82.063;1599
 82.125;1589
 82.188;1606
 82.250;1606
 82.313;1591
 82.375;1596
 82.438;1594
 82.500;1604
 82.563;1608
 82.625;1577
 82.688;1579
 82.750;1582
 82.813;1562
 82.875;1589
 82.938;1584
 83.000;1579
 83.063;1574
 83.125;1579
 83.188;1589
 83.250;1618
 83.313;1618
 83.375;1601
 83.438;1594
 83.500;1569
 83.563;1579
 83.625;1579
 83.688;1545
 83.750;1560
 83.813;1550
 83.875;1542
 83.938;1569
 84.000;1560
 84.063;1562
 84.125;1572
 84.188;1572
 84.250;1613
 84.313;1628
 84.375;1582
 84.438;1589
 84.500;1604
 84.563;1555
 84.625;1564
 84.688;1547
 84.750;1540
 84.813;1535
 84.875;1530
 84.938;1535
 85.000;1564
 85.063;1523
 85.125;1542
 85.188;1530
 85.250;1530
 85.313;1599
 85.375;1621
 85.438;1572
 85.500;1579
 85.563;1562
 85.625;1533
 85.688;1538
 85.750;1518
 85.813;1516
 85.875;1513
 85.938;1523
 86.000;1540
 86.063;1540
 86.125;1520
 86.188;1513
 86.250;1535
 86.313;1574
 86.375;1604
 86.438;1582
 86.500;1545
 86.563;1562
 86.625;1545
 86.688;1506
 86.750;1489
 86.813;1459
 86.875;1467
 86.938;1474
 87.000;1511
 87.063;1540
 87.125;1569
 87.188;1518
 87.250;1518
 87.313;1506
 87.375;1533
 87.438;1579
 87.500;1552
 87.563;1523
 87.625;1513
 87.688;1469
 87.750;1440
 87.813;1430
 87.875;1423
 87.938;1406
 88.000;1433
 88.063;1440
 88.125;1433
 88.188;1406
 88.250;1403
 88.313;1396
 88.375;1455
 88.438;1503
 88.500;1542
 88.563;1589
 88.625;1696
 88.688;1704
 88.750;1684
 88.813;1674
 88.875;1591
 88.938;1413
 89.000;1359
 89.063;1347
 89.125;1333
 89.188;1335
 89.250;1340
 89.313;1447
 89.375;1647
 89.438;1726
 89.500;1723
 89.563;1665
 89.625;1657
 89.688;1516
 89.750;1625
 89.813;1696
 89.875;1767
 89.938;1726
 90.000;1660
 90.063;1591
 90.125;1506
 90.188;1513
 90.250;1638
 90.313;1594
 90.375;1525
 90.438;1464
 90.500;1376
 90.563;1345
 90.625;1462
 90.688;1442
 90.750;1491
 90.813;1489
 90.875;1435
 90.938;1530
 91.000;1594
 91.063;1657
 91.125;1630
 91.188;1599
 91.250;1604
 91.313;1599
 91.375;1469
 91.438;1474
 91.500;1396
 91.563;1333
 91.625;1311
 91.688;1325
 91.750;1352
 91.813;1374
 91.875;1416
 91.938;1379
 92.000;1376
 92.063;1423
 92.125;1362
 92.188;1350
 92.250;1372
 92.313;1354
 92.375;1340
 92.438;1374
 92.500;1396
 92.563;1503
 92.625;1564
 92.688;1591
 92.750;1538
 92.813;1535
 92.875;1437
 92.938;1379
 93.000;1372
 93.063;1335
 93.125;1369
 93.188;1347
 93.250;1345
 93.313;1369
 93.375;1357
 93.438;1347
 93.500;1418
 93.563;1406
 93.625;1440
 93.688;1496
 93.750;1503
 93.813;1567
 93.875;1718
 93.938;1906
 94.000;2138
 94.063;2258
 94.125;2285
 94.188;2292
 94.250;2299
 94.313;2292
 94.375;2246
 94.438;2080
 94.500;1801
 94.563;1694
 94.625;1655
 94.688;1611
 94.750;1589
 94.813;1418
 94.875;1391
 94.938;1367
 95.000;1362
 95.063;1381
 95.125;1357
 95.188;1320
 95.250;1376
 95.313;1337
 95.375;1315
 95.438;1376
 95.500;1389
 95.563;1381
 95.625;1411
 95.688;1379
 95.750;1386
 95.813;1396
 95.875;1333
 95.938;1384
 96.000;1413
 96.063;1420
 96.125;1447
 96.188;1408
 96.250;1330
 96.313;1379
 96.375;1379
 96.438;1352
 96.500;1372
 96.563;1308
 96.625;1206
 96.688;1323
 96.750;1367
 96.813;1186
 96.875;1435
 96.938;1254
 97.000;1364
 97.063;1401
 97.125;1450
 97.188;1469
 97.250;1247
 97.313;1394
 97.375;1345
 97.438;1604
 97.500;1894
 97.563;1982
 97.625;1828
 97.688;1369
 97.750;1342
 97.813;1311
 97.875;1508
 97.938;1613
 98.000;1574
 98.063;1464
 98.125;1323
 98.188;1437
 98.250;1467
 98.313;1276
 98.375;1447
 98.438;1201
 98.500;1201
 98.563;1245
 98.625;1108
 98.688;1057
 98.750;1230
 98.813;1311
 98.875;1428
 98.938;1044
 99.000;1472
 99.063;1359
 99.125;1252
 99.188;1557
 99.250;1621
 99.313;1335
 99.375;1308
 99.438;1428
 99.500;1149
 99.563;1362
 99.625;1215
 99.688;1210
 99.750;1230
 99.813;1362
 99.875;1625
 99.938;1892
100.000;1972
100.063;2019
100.125;1982
100.188;1933
100.250;1909
100.313;1684
100.375;1425
100.438;1540
100.500;1574
100.563;1772
100.625;1945
100.688;2163
100.750;2277
100.813;2287
100.875;2285
100.938;2299
101.000;2297
101.063;2302
101.125;2221
101.188;1958
101.250;1647
101.313;1357
101.375;1320
101.438;1433
101.500;1718
101.563;1918
101.625;1999
101.688;2058
101.750;2004
101.813;1955
101.875;1811
101.938;1613
102.000;1496
102.063;1184
102.125;1157
102.188;1674
102.250;1772
102.313;1508
102.375;1413
102.438;1462
102.500;1574
102.563;1423
102.625;1398
102.688;1372
102.750;1223
102.813;1276
102.875;1289
102.938;1435
103.000;1459
103.063;1469
103.125;1503
103.188;1696
103.250;1474
103.313;1518
103.375;1574
103.438;1657
103.500;1655
103.563;1779
103.625;1701
103.688;1689
103.750;1274
103.813;1379
103.875;1418
103.938;1396
104.000;1423
104.063;1428
104.125;1481
104.188;1613
104.250;1557
104.313;1586
104.375;1640
104.438;1591
104.500;1433
104.563;1196
104.625;1464
104.688;1552
104.750;1772
104.813;1813
104.875;1799
104.938;1809
105.000;1677
105.063;1533
105.125;1262
105.188;1123
105.250;1193
105.313;1259
105.375;1113
105.438;1000
105.500;1015
105.563;1018
105.625;1040
105.688;1057
105.750;1103
105.813;1069
105.875;1142
105.938;1240
106.000;1391
106.063;1457
106.125;1516
106.188;1394
106.250;1357
106.313;1286
106.375;1459
106.438;1652
106.500;1860
106.563;2102
106.625;2236
106.688;2277
106.750;2287
106.813;2302
106.875;2299
106.938;2299
107.000;2255
107.063;2045
