Frequency[MHz];Amplitude RX1[mV] at pwm=100
 69.750;1071
 69.813;1062
 69.875;1071
 69.938;1066
 70.000;1062
 70.063;1081
 70.125;1081
 70.188;1083
 70.250;1098
 70.313;1081
 70.375;1074
 70.438;1083
 70.500;1083
 70.563;1069
 70.625;1074
 70.688;1076
 70.750;1052
 70.813;1054
 70.875;1064
 70.938;1052
 71.000;1047
 71.063;1062
 71.125;1044
 71.188;1054
 71.250;1054
 71.313;1052
 71.375;1040
 71.438;1052
 71.500;1040
 71.563;1027
 71.625;1013
 71.688;1015
 71.750;1010
 71.813;1005
 71.875;1005
 71.938;1008
 72.000;996
 72.063;998
 72.125;1003
 72.188;996
 72.250;1008
 72.313;1013
 72.375;1010
 72.438;998
 72.500;1008
 72.563;998
 72.625;1000
 72.688;1010
 72.750;1000
 72.813;996
 72.875;996
 72.938;996
 73.000;974
 73.063;981
 73.125;996
 73.188;971
 73.250;986
 73.313;998
 73.375;981
 73.438;981
 73.500;1015
 73.563;979
 73.625;981
 73.688;996
 73.750;1005
 73.813;991
 73.875;993
 73.938;998
 74.000;986
 74.063;991
 74.125;991
 74.188;983
 74.250;988
 74.313;998
 74.375;981
 74.438;983
 74.500;986
 74.563;991
 74.625;983
 74.688;979
 74.750;981
 74.813;969
 74.875;976
 74.938;979
 75.000;966
 75.063;969
 75.125;983
 75.188;964
 75.250;949
 75.313;966
 75.375;949
 75.438;944
 75.500;954
 75.563;944
 75.625;937
 75.688;944
 75.750;944
 75.813;922
 75.875;925
 75.938;939
 76.000;925
 76.063;925
 76.125;930
 76.188;903
 76.250;915
 76.313;915
 76.375;913
 76.438;905
 76.500;913
 76.563;922
 76.625;920
 76.688;964
 76.750;1003
 76.813;1049
 76.875;1083
 76.938;1079
 77.000;1042
 77.063;954
 77.125;922
 77.188;908
 77.250;903
 77.313;932
 77.375;954
 77.438;983
 77.500;976
 77.563;981
 77.625;966
 77.688;942
 77.750;932
 77.813;920
 77.875;927
 77.938;930
 78.000;927
 78.063;930
 78.125;937
 78.188;927
 78.250;935
 78.313;939
 78.375;939
 78.438;932
 78.500;939
 78.563;957
 78.625;935
 78.688;930
 78.750;942
 78.813;932
 78.875;932
 78.938;949
 79.000;932
 79.063;939
 79.125;957
 79.188;957
 79.250;966
 79.313;976
 79.375;971
 79.438;959
 79.500;974
 79.563;966
 79.625;961
 79.688;969
 79.750;966
 79.813;966
 79.875;964
 79.938;976
 80.000;949
 80.063;976
 80.125;964
 80.188;964
 80.250;966
 80.313;976
 80.375;1022
 80.438;1062
 80.500;1086
 80.563;1069
 80.625;1052
 80.688;1018
 80.750;966
 80.813;949
 80.875;942
 80.938;952
 81.000;952
 81.063;944
 81.125;949
 81.188;937
 81.250;957
 81.313;1000
 81.375;979
 81.438;1066
 81.500;1103
 81.563;1018
 81.625;1079
 81.688;1062
 81.750;1030
 81.813;974
 81.875;1042
 81.938;1074
 82.000;986
 82.063;964
 82.125;976
 82.188;1154
 82.250;1123
 82.313;1069
 82.375;1206
 82.438;1103
 82.500;1010
 82.563;991
 82.625;1120
 82.688;1110
 82.750;1064
 82.813;1210
 82.875;1052
 82.938;1081
 83.000;1069
 83.063;1093
 83.125;1162
 83.188;1054
 83.250;1086
 83.313;1052
 83.375;1074
 83.438;1074
 83.500;1062
 83.563;1047
 83.625;1074
 83.688;1154
 83.750;1164
 83.813;1108
 83.875;1091
 83.938;1113
 84.000;1101
 84.063;1113
 84.125;1247
 84.188;1262
 84.250;1306
 84.313;1279
 84.375;1215
 84.438;1223
 84.500;1276
 84.563;1181
 84.625;1374
 84.688;1376
 84.750;1459
 84.813;1433
 84.875;1401
 84.938;1345
 85.000;1259
 85.063;1196
 85.125;1179
 85.188;1157
 85.250;1176
 85.313;1154
 85.375;1179
 85.438;1364
 85.500;1398
 85.563;1428
 85.625;1406
 85.688;1359
 85.750;1274
 85.813;1188
 85.875;1298
 85.938;1401
 86.000;1440
 86.063;1462
 86.125;1440
 86.188;1423
 86.250;1347
 86.313;1289
 86.375;1398
 86.438;1486
 86.500;1569
 86.563;1630
 86.625;1579
 86.688;1511
 86.750;1457
 86.813;1447
 86.875;1535
 86.938;1579
 87.000;1562
 87.063;1552
 87.125;1518
 87.188;1389
 87.250;1425
 87.313;1477
 87.375;1477
 87.438;1486
 87.500;1484
 87.563;1416
 87.625;1347
 87.688;1325
 87.750;1323
 87.813;1325
 87.875;1372
 87.938;1403
 88.000;1389
 88.063;1435
 88.125;1840
 88.188;1884
 88.250;1921
 88.313;1892
 88.375;1879
 88.438;1853
 88.500;1721
 88.563;1828
 88.625;2004
 88.688;2075
 88.750;2082
 88.813;2080
 88.875;2070
 88.938;2038
 89.000;1909
 89.063;1696
 89.125;1442
 89.188;1367
 89.250;1350
 89.313;1386
 89.375;1579
 89.438;1667
 89.500;1826
 89.563;1860
 89.625;1826
 89.688;1801
 89.750;1730
 89.813;1567
 89.875;1447
 89.938;1274
 90.000;1284
 90.063;1303
 90.125;1323
 90.188;1364
 90.250;1384
 90.313;1364
 90.375;1369
 90.438;1350
 90.500;1396
 90.563;1477
 90.625;1450
 90.688;1440
 90.750;1645
 90.813;1921
 90.875;2014
 90.938;2048
 91.000;2045
 91.063;2028
 91.125;1989
 91.188;1872
 91.250;1682
 91.313;1459
 91.375;1394
 91.438;1474
 91.500;1474
 91.563;1486
 91.625;1474
 91.688;1433
 91.750;1418
 91.813;1359
 91.875;1372
 91.938;1398
 92.000;1376
 92.063;1352
 92.125;1354
 92.188;1323
 92.250;1328
 92.313;1320
 92.375;1242
 92.438;1245
 92.500;1398
 92.563;1645
 92.625;1809
 92.688;1967
 92.750;1999
 92.813;1950
 92.875;1950
 92.938;1926
 93.000;1735
 93.063;1550
 93.125;1342
 93.188;1291
 93.250;1411
 93.313;1435
 93.375;1447
 93.438;1479
 93.500;1416
 93.563;1389
 93.625;1362
 93.688;1328
 93.750;1357
 93.813;1318
 93.875;1298
 93.938;1286
 94.000;1306
 94.063;1308
 94.125;1437
 94.188;1545
 94.250;1491
 94.313;1501
 94.375;1457
 94.438;1386
 94.500;1330
 94.563;1188
 94.625;1228
 94.688;1135
 94.750;1223
 94.813;1223
 94.875;1442
 94.938;1621
 95.000;1662
 95.063;1716
 95.125;1733
 95.188;1689
 95.250;1633
 95.313;1501
 95.375;1555
 95.438;1647
 95.500;1638
 95.563;1640
 95.625;1657
 95.688;1567
 95.750;1547
 95.813;1484
 95.875;1582
 95.938;1545
 96.000;1499
 96.063;1440
 96.125;1447
 96.188;1364
 96.250;1284
 96.313;1289
 96.375;1335
 96.438;1384
 96.500;1389
 96.563;1374
 96.625;1284
 96.688;1330
 96.750;1262
 96.813;1240
 96.875;1264
 96.938;1247
 97.000;1218
 97.063;1193
 97.125;1208
 97.188;1223
 97.250;1247
 97.313;1250
 97.375;1289
 97.438;1320
 97.500;1452
 97.563;1342
 97.625;1477
 97.688;1376
 97.750;1391
 97.813;1381
 97.875;1394
 97.938;1589
 98.000;1594
 98.063;1818
 98.125;2043
 98.188;2028
 98.250;2119
 98.313;2106
 98.375;2106
 98.438;2065
 98.500;1899
