Frequency[MHz];Amplitude RX1[mV] at pwm=100
 69.750;1706
 69.813;1691
 69.875;1660
 69.938;1655
 70.000;1638
 70.063;1669
 70.125;1647
 70.188;1638
 70.250;1645
 70.313;1628
 70.375;1625
 70.438;1582
 70.500;1577
 70.563;1547
 70.625;1577
 70.688;1560
 70.750;1535
 70.813;1552
 70.875;1523
 70.938;1555
 71.000;1518
 71.063;1525
 71.125;1513
 71.188;1511
 71.250;1525
 71.313;1474
 71.375;1496
 71.438;1484
 71.500;1499
 71.563;1501
 71.625;1474
 71.688;1513
 71.750;1506
 71.813;1545
 71.875;1533
 71.938;1518
 72.000;1518
 72.063;1508
 72.125;1511
 72.188;1484
 72.250;1513
 72.313;1511
 72.375;1503
 72.438;1494
 72.500;1455
 72.563;1428
 72.625;1457
 72.688;1481
 72.750;1506
 72.813;1528
 72.875;1506
 72.938;1516
 73.000;1508
 73.063;1464
 73.125;1464
 73.188;1464
 73.250;1474
 73.313;1489
 73.375;1491
 73.438;1494
 73.500;1489
 73.563;1516
 73.625;1520
 73.688;1542
 73.750;1555
 73.813;1555
 73.875;1562
 73.938;1579
 74.000;1584
 74.063;1601
 74.125;1606
 74.188;1625
 74.250;1638
 74.313;1667
 74.375;1691
 74.438;1699
 74.500;1713
 74.563;1728
 74.625;1740
 74.688;1750
 74.750;1777
 74.813;1770
 74.875;1779
 74.938;1791
 75.000;1794
 75.063;1789
 75.125;1796
 75.188;1809
 75.250;1801
 75.313;1809
 75.375;1813
 75.438;1811
 75.500;1813
 75.563;1816
 75.625;1818
 75.688;1818
 75.750;1816
 75.813;1816
 75.875;1821
 75.938;1816
 76.000;1826
 76.063;1833
 76.125;1872
 76.188;1938
 76.250;2077
 76.313;2194
 76.375;2216
 76.438;2221
 76.500;2238
 76.563;2229
 76.625;2204
 76.688;2163
 76.750;2153
 76.813;2148
 76.875;2153
 76.938;2158
 77.000;2148
 77.063;2155
 77.125;2148
 77.188;2136
 77.250;2141
 77.313;2133
 77.375;2138
 77.438;2126
 77.500;2128
 77.563;2124
 77.625;2119
 77.688;2119
 77.750;2104
 77.813;2114
 77.875;2111
 77.938;2106
 78.000;2106
 78.063;2106
 78.125;2109
 78.188;2109
 78.250;2109
 78.313;2106
 78.375;2099
 78.438;2099
 78.500;2092
 78.563;2099
 78.625;2092
 78.688;2097
 78.750;2102
 78.813;2099
 78.875;2104
 78.938;2094
 79.000;2097
 79.063;2092
