Frequency[MHz];Amplitude RX1[mV] at pwm=120
 69.750;1838
 69.813;1823
 69.875;1813
 69.938;1816
 70.000;1816
 70.063;1809
 70.125;1811
 70.188;1826
 70.250;1809
 70.313;1818
 70.375;1816
 70.438;1821
 70.500;1833
 70.563;1806
 70.625;1813
 70.688;1831
 70.750;1831
 70.813;1862
 70.875;1909
 70.938;1860
 71.000;1870
 71.063;1865
 71.125;1818
 71.188;1823
 71.250;1823
 71.313;1816
 71.375;1828
 71.438;1821
 71.500;1879
 71.563;1899
 71.625;1896
 71.688;1853
 71.750;1838
 71.813;1826
 71.875;1789
 71.938;1816
 72.000;1840
 72.063;1855
 72.125;1867
 72.188;1923
 72.250;1870
 72.313;1835
 72.375;1850
 72.438;1811
 72.500;1787
 72.563;1784
 72.625;1796
 72.688;1804
 72.750;1809
 72.813;1794
 72.875;1791
 72.938;1796
 73.000;1791
 73.063;1818
 73.125;1816
 73.188;1823
 73.250;1831
 73.313;1826
 73.375;1818
 73.438;1799
 73.500;1826
 73.563;1843
 73.625;1850
 73.688;1875
 73.750;1870
 73.813;1870
 73.875;1855
 73.938;1865
 74.000;1855
 74.063;1928
 74.125;1945
 74.188;1962
 74.250;1940
 74.313;1896
 74.375;1901
 74.438;1870
 74.500;1855
 74.563;1875
 74.625;1872
 74.688;1896
 74.750;1855
 74.813;1879
 74.875;1862
 74.938;1872
 75.000;1865
 75.063;1867
 75.125;1853
 75.188;1850
 75.250;1845
 75.313;1840
 75.375;1828
 75.438;1843
 75.500;1811
 75.563;1818
 75.625;1811
 75.688;1816
 75.750;1826
 75.813;1806
 75.875;1833
 75.938;1804
 76.000;1818
 76.063;1799
 76.125;1804
 76.188;1801
 76.250;1799
 76.313;1801
 76.375;1799
 76.438;1840
 76.500;1848
 76.563;1862
 76.625;1843
 76.688;1826
 76.750;1831
 76.813;1796
 76.875;1809
 76.938;1779
 77.000;1806
 77.063;1818
 77.125;1850
 77.188;1877
 77.250;1901
 77.313;1911
 77.375;1901
 77.438;1882
 77.500;1853
 77.563;1828
 77.625;1826
 77.688;1796
 77.750;1813
 77.813;1791
 77.875;1828
 77.938;1828
 78.000;1850
 78.063;1826
 78.125;1831
 78.188;1818
 78.250;1816
 78.313;1938
 78.375;1984
 78.438;1870
 78.500;2023
 78.563;1889
 78.625;1923
 78.688;1989
 78.750;1940
 78.813;1882
 78.875;1855
 78.938;1843
 79.000;1855
 79.063;1843
 79.125;1877
 79.188;1887
 79.250;1916
 79.313;1931
 79.375;1948
 79.438;1960
 79.500;1918
 79.563;1911
 79.625;1906
 79.688;1914
 79.750;1889
 79.813;1877
 79.875;1862
 79.938;1889
 80.000;1877
 80.063;1872
 80.125;1855
 80.188;1850
 80.250;1853
 80.313;1853
 80.375;1862
 80.438;1901
 80.500;1896
 80.563;1921
 80.625;1916
 80.688;1914
 80.750;1889
 80.813;1892
 80.875;1892
 80.938;1904
 81.000;1938
 81.063;1904
 81.125;1904
 81.188;1899
 81.250;1889
 81.313;1875
 81.375;1943
 81.438;2041
 81.500;2045
 81.563;2082
 81.625;2062
 81.688;2023
 81.750;2014
 81.813;1997
 81.875;1950
 81.938;1896
 82.000;1901
 82.063;1909
