Frequency[MHz];Amplitude RX1[mV] at pwm=201
 69.750;1274
 69.813;1250
 69.875;1259
 69.938;1247
 70.000;1315
 70.063;1479
 70.125;1374
 70.188;1245
 70.250;1247
 70.313;1245
 70.375;1264
 70.438;1247
 70.500;1237
 70.563;1250
 70.625;1269
 70.688;1252
 70.750;1247
 70.813;1245
 70.875;1235
 70.938;1232
 71.000;1252
 71.063;1230
 71.125;1232
 71.188;1240
 71.250;1235
 71.313;1225
 71.375;1230
 71.438;1250
 71.500;1232
 71.563;1235
 71.625;1245
 71.688;1240
 71.750;1264
 71.813;1257
 71.875;1318
 71.938;1296
 72.000;1333
 72.063;1335
 72.125;1301
 72.188;1291
 72.250;1252
 72.313;1232
 72.375;1230
 72.438;1225
 72.500;1242
 72.563;1228
 72.625;1257
 72.688;1267
 72.750;1228
 72.813;1271
 72.875;1281
 72.938;1254
 73.000;1271
 73.063;1264
 73.125;1274
 73.188;1284
 73.250;1274
 73.313;1252
 73.375;1257
 73.438;1250
 73.500;1237
 73.563;1240
 73.625;1232
 73.688;1240
 73.750;1242
 73.813;1267
 73.875;1262
 73.938;1276
 74.000;1259
 74.063;1271
 74.125;1247
 74.188;1267
 74.250;1257
 74.313;1276
 74.375;1271
 74.438;1252
 74.500;1254
 74.563;1267
 74.625;1259
 74.688;1271
 74.750;1267
 74.813;1259
 74.875;1252
 74.938;1250
 75.000;1240
 75.063;1230
 75.125;1250
 75.188;1237
 75.250;1250
 75.313;1262
 75.375;1259
 75.438;1262
 75.500;1269
 75.563;1235
 75.625;1252
 75.688;1259
 75.750;1254
 75.813;1259
 75.875;1271
 75.938;1264
 76.000;1279
 76.063;1259
 76.125;1271
 76.188;1259
 76.250;1257
 76.313;1267
 76.375;1245
 76.438;1247
 76.500;1257
 76.563;1237
 76.625;1250
 76.688;1267
 76.750;1276
 76.813;1264
 76.875;1259
 76.938;1279
 77.000;1276
 77.063;1276
 77.125;1291
 77.188;1269
 77.250;1252
 77.313;1252
 77.375;1242
 77.438;1303
 77.500;1276
 77.563;1250
 77.625;1232
 77.688;1262
 77.750;1240
 77.813;1218
 77.875;1206
 77.938;1201
 78.000;1218
 78.063;1232
 78.125;1240
 78.188;1235
 78.250;1267
 78.313;1228
 78.375;1250
 78.438;1254
 78.500;1267
 78.563;1274
 78.625;1279
 78.688;1296
 78.750;1274
 78.813;1247
 78.875;1267
 78.938;1254
 79.000;1257
 79.063;1235
 79.125;1230
 79.188;1232
 79.250;1247
 79.313;1240
 79.375;1252
 79.438;1257
 79.500;1245
 79.563;1259
 79.625;1250
 79.688;1247
 79.750;1269
 79.813;1289
 79.875;1276
 79.938;1271
 80.000;1271
 80.063;1276
 80.125;1271
 80.188;1259
 80.250;1252
 80.313;1245
 80.375;1259
 80.438;1250
 80.500;1235
 80.563;1262
 80.625;1245
 80.688;1242
 80.750;1267
 80.813;1257
 80.875;1291
 80.938;1269
 81.000;1250
 81.063;1262
 81.125;1250
 81.188;1271
 81.250;1254
 81.313;1281
 81.375;1267
 81.438;1257
 81.500;1262
 81.563;1232
 81.625;1264
 81.688;1276
 81.750;1264
 81.813;1281
 81.875;1267
 81.938;1279
 82.000;1247
 82.063;1247
 82.125;1240
 82.188;1230
 82.250;1247
 82.313;1237
 82.375;1252
 82.438;1235
 82.500;1235
 82.563;1242
 82.625;1252
 82.688;1276
 82.750;1279
 82.813;1274
 82.875;1267
 82.938;1267
 83.000;1315
 83.063;1462
 83.125;1357
 83.188;1269
 83.250;1240
 83.313;1230
 83.375;1242
 83.438;1245
 83.500;1247
 83.563;1242
 83.625;1252
 83.688;1252
 83.750;1232
 83.813;1257
 83.875;1274
 83.938;1279
 84.000;1293
 84.063;1279
 84.125;1274
 84.188;1250
 84.250;1250
 84.313;1237
 84.375;1250
 84.438;1230
 84.500;1240
 84.563;1228
 84.625;1242
 84.688;1220
 84.750;1237
 84.813;1232
 84.875;1240
 84.938;1254
 85.000;1254
 85.063;1247
 85.125;1264
 85.188;1250
 85.250;1250
 85.313;1247
 85.375;1245
 85.438;1237
 85.500;1235
 85.563;1252
 85.625;1240
 85.688;1240
 85.750;1235
 85.813;1237
 85.875;1237
 85.938;1252
 86.000;1218
 86.063;1237
 86.125;1254
 86.188;1237
 86.250;1245
 86.313;1247
 86.375;1240
 86.438;1252
 86.500;1245
 86.563;1250
 86.625;1230
 86.688;1257
 86.750;1237
 86.813;1215
 86.875;1237
 86.938;1218
 87.000;1232
 87.063;1232
 87.125;1235
 87.188;1252
 87.250;1223
 87.313;1240
 87.375;1223
 87.438;1252
 87.500;1242
 87.563;1252
 87.625;1223
 87.688;1228
 87.750;1228
 87.813;1240
