Frequency[MHz];Amplitude RX1[mV] at pwm=120
 69.750;1582
 69.813;1569
 69.875;1564
 69.938;1545
 70.000;1562
 70.063;1567
 70.125;1557
 70.188;1560
 70.250;1569
 70.313;1569
 70.375;1577
 70.438;1569
 70.500;1552
 70.563;1572
 70.625;1574
 70.688;1574
 70.750;1562
 70.813;1591
 70.875;1579
 70.938;1594
 71.000;1589
 71.063;1589
 71.125;1577
 71.188;1562
 71.250;1567
 71.313;1577
 71.375;1562
 71.438;1572
 71.500;1589
 71.563;1572
 71.625;1555
 71.688;1557
 71.750;1552
 71.813;1557
 71.875;1564
 71.938;1562
 72.000;1586
 72.063;1586
 72.125;1594
 72.188;1582
 72.250;1560
 72.313;1547
 72.375;1542
 72.438;1557
 72.500;1542
 72.563;1547
 72.625;1538
 72.688;1520
 72.750;1528
 72.813;1513
 72.875;1520
 72.938;1520
 73.000;1506
 73.063;1513
 73.125;1545
 73.188;1501
 73.250;1525
 73.313;1525
 73.375;1484
 73.438;1503
 73.500;1501
 73.563;1474
 73.625;1506
 73.688;1496
 73.750;1472
 73.813;1530
 73.875;1499
 73.938;1496
 74.000;1511
 74.063;1464
 74.125;1491
 74.188;1503
 74.250;1455
 74.313;1486
 74.375;1486
 74.438;1452
 74.500;1489
 74.563;1491
 74.625;1489
 74.688;1503
 74.750;1459
 74.813;1486
 74.875;1506
 74.938;1472
 75.000;1494
 75.063;1511
 75.125;1440
 75.188;1479
 75.250;1508
 75.313;1452
 75.375;1499
 75.438;1484
 75.500;1455
 75.563;1496
 75.625;1435
 75.688;1469
 75.750;1518
 75.813;1445
 75.875;1462
 75.938;1530
 76.000;1433
 76.063;1489
 76.125;1494
 76.188;1425
 76.250;1486
 76.313;1467
 76.375;1467
 76.438;1516
 76.500;1450
 76.563;1452
 76.625;1525
 76.688;1442
 76.750;1474
 76.813;1535
 76.875;1420
 76.938;1462
 77.000;1491
 77.063;1411
 77.125;1494
 77.188;1486
 77.250;1472
 77.313;1545
 77.375;1474
 77.438;1506
 77.500;1560
 77.563;1455
 77.625;1486
 77.688;1552
 77.750;1435
 77.813;1494
 77.875;1530
 77.938;1481
 78.000;1523
 78.063;1525
 78.125;1499
 78.188;1550
 78.250;1462
 78.313;1481
 78.375;1538
 78.438;1445
 78.500;1496
 78.563;1545
 78.625;1440
 78.688;1496
 78.750;1533
 78.813;1440
 78.875;1506
 78.938;1486
 79.000;1464
 79.063;1518
 79.125;1464
 79.188;1496
 79.250;1569
 79.313;1467
 79.375;1516
 79.438;1557
 79.500;1459
 79.563;1511
 79.625;1520
 79.688;1450
 79.750;1511
 79.813;1496
 79.875;1486
 79.938;1542
 80.000;1486
 80.063;1508
 80.125;1550
 80.188;1464
 80.250;1501
 80.313;1538
 80.375;1435
 80.438;1489
 80.500;1530
 80.563;1433
 80.625;1511
 80.688;1477
 80.750;1459
 80.813;1520
 80.875;1477
 80.938;1506
 81.000;1550
 81.063;1469
 81.125;1508
 81.188;1557
 81.250;1459
 81.313;1523
 81.375;1545
 81.438;1452
 81.500;1516
 81.563;1516
 81.625;1477
 81.688;1542
 81.750;1472
 81.813;1491
 81.875;1530
 81.938;1464
 82.000;1520
 82.063;1582
 82.125;1467
 82.188;1520
 82.250;1552
 82.313;1462
 82.375;1525
 82.438;1501
 82.500;1477
 82.563;1533
 82.625;1479
 82.688;1489
 82.750;1535
 82.813;1455
 82.875;1508
 82.938;1528
 83.000;1452
 83.063;1511
 83.125;1530
 83.188;1462
 83.250;1494
 83.313;1496
 83.375;1489
 83.438;1528
 83.500;1501
 83.563;1499
 83.625;1530
 83.688;1477
 83.750;1511
 83.813;1525
 83.875;1464
 83.938;1528
 84.000;1562
 84.063;1555
 84.125;1569
 84.188;1525
 84.250;1474
 84.313;1479
 84.375;1467
 84.438;1496
 84.500;1472
 84.563;1450
 84.625;1462
 84.688;1474
 84.750;1440
 84.813;1481
 84.875;1472
 84.938;1442
 85.000;1464
 85.063;1467
 85.125;1469
 85.188;1474
 85.250;1462
 85.313;1489
 85.375;1506
 85.438;1496
 85.500;1533
 85.563;1535
 85.625;1574
 85.688;1586
 85.750;1547
 85.813;1557
 85.875;1550
 85.938;1557
 86.000;1599
 86.063;1599
 86.125;1572
 86.188;1567
 86.250;1545
 86.313;1591
 86.375;1594
 86.438;1601
 86.500;1623
 86.563;1618
 86.625;1591
 86.688;1608
 86.750;1623
 86.813;1645
 86.875;1669
 86.938;1655
 87.000;1638
 87.063;1621
 87.125;1647
 87.188;1660
 87.250;1672
 87.313;1652
 87.375;1630
 87.438;1640
 87.500;1665
 87.563;1643
 87.625;1657
 87.688;1674
 87.750;1679
 87.813;1704
 87.875;1914
 87.938;2045
 88.000;2136
 88.063;2226
 88.125;2175
 88.188;2121
 88.250;2082
 88.313;2104
 88.375;2165
 88.438;2126
 88.500;2050
 88.563;1950
 88.625;1904
 88.688;2014
 88.750;2089
 88.813;2060
 88.875;2011
 88.938;1953
 89.000;1809
 89.063;1862
 89.125;1948
 89.188;1955
 89.250;1899
 89.313;1872
 89.375;1862
 89.438;2036
 89.500;2065
 89.563;2111
 89.625;2094
 89.688;2038
 89.750;1928
 89.813;1958
 89.875;2053
 89.938;2116
 90.000;2104
 90.063;2094
 90.125;1970
 90.188;1782
 90.250;1813
 90.313;1984
 90.375;2084
 90.438;2167
 90.500;2175
 90.563;2116
 90.625;2075
 90.688;2114
 90.750;2128
 90.813;2145
 90.875;2111
 90.938;2014
 91.000;1840
 91.063;1794
 91.125;1796
 91.188;1826
 91.250;1804
 91.313;1765
 91.375;1772
 91.438;1896
 91.500;1975
 91.563;2031
 91.625;2014
 91.688;1955
 91.750;1901
 91.813;1931
 91.875;2031
 91.938;2136
 92.000;2136
 92.063;2089
 92.125;2026
 92.188;1865
 92.250;1757
 92.313;1760
 92.375;1762
 92.438;1767
 92.500;1823
 92.563;1823
 92.625;1791
 92.688;1748
 92.750;1728
 92.813;2009
 92.875;2045
 92.938;2131
 93.000;2131
 93.063;2106
 93.125;2043
 93.188;1962
 93.250;2036
 93.313;2028
 93.375;2089
 93.438;2048
 93.500;2001
 93.563;1928
 93.625;1997
 93.688;1994
 93.750;1960
 93.813;2058
 93.875;2167
 93.938;2231
 94.000;2226
 94.063;2185
 94.125;2138
 94.188;1926
 94.250;1777
 94.313;2060
 94.375;2058
 94.438;2141
 94.500;2153
 94.563;2106
 94.625;1943
 94.688;1914
 94.750;1757
 94.813;1755
 94.875;1730
 94.938;1745
 95.000;1838
 95.063;1953
 95.125;2026
 95.188;2072
 95.250;2006
 95.313;1953
 95.375;1833
 95.438;1728
 95.500;1958
 95.563;2065
 95.625;2167
 95.688;2192
 95.750;2121
 95.813;2102
 95.875;1921
 95.938;1938
 96.000;1977
 96.063;2043
 96.125;1994
 96.188;1975
 96.250;2038
 96.313;2072
 96.375;2126
 96.438;2099
 96.500;2062
 96.563;1906
 96.625;1804
 96.688;1809
 96.750;1904
 96.813;1896
 96.875;1835
 96.938;1789
 97.000;1743
 97.063;1770
 97.125;1789
 97.188;1848
 97.250;1801
 97.313;1801
 97.375;1799
 97.438;1787
 97.500;1770
 97.563;1828
 97.625;1801
 97.688;1789
 97.750;1848
 97.813;1784
 97.875;1811
 97.938;1950
 98.000;1848
 98.063;1945
 98.125;1867
 98.188;1850
 98.250;2194
 98.313;2258
 98.375;2246
 98.438;2304
 98.500;2304
 98.563;2307
 98.625;2302
