Frequency[MHz];Amplitude RX1[mV] at pwm=120
 69.750;1525
 69.813;1696
 69.875;1914
 69.938;2194
 70.000;2329
 70.063;2353
 70.125;2358
 70.188;2351
 70.250;2348
 70.313;2292
 70.375;2111
 70.438;1860
 70.500;1589
 70.563;1459
 70.625;1459
 70.688;1450
 70.750;1445
 70.813;1489
 70.875;1459
 70.938;1389
 71.000;1386
 71.063;1406
 71.125;1428
 71.188;1457
 71.250;1462
 71.313;1435
 71.375;1418
 71.438;1374
 71.500;1374
 71.563;1403
 71.625;1672
 71.688;1706
 71.750;1760
 71.813;1696
 71.875;1669
 71.938;1618
 72.000;1523
 72.063;1467
 72.125;1452
 72.188;1435
 72.250;1423
 72.313;1452
 72.375;1457
 72.438;1506
 72.500;1545
 72.563;1555
 72.625;1501
 72.688;1469
 72.750;1413
 72.813;1481
 72.875;1538
 72.938;1584
 73.000;1520
 73.063;1477
 73.125;1472
 73.188;1396
 73.250;1359
 73.313;1335
 73.375;1318
 73.438;1328
 73.500;1394
 73.563;1535
 73.625;1635
 73.688;1643
 73.750;1577
 73.813;1616
 73.875;1599
 73.938;1445
 74.000;1447
 74.063;1518
 74.125;1567
 74.188;1542
 74.250;1496
 74.313;1496
 74.375;1428
 74.438;1445
 74.500;1474
 74.563;1589
 74.625;1623
 74.688;1706
 74.750;1794
 74.813;1811
 74.875;1818
 74.938;1760
 75.000;1735
 75.063;1582
 75.125;1479
 75.188;1457
 75.250;1450
 75.313;1450
 75.375;1445
 75.438;1462
 75.500;1518
 75.563;1618
 75.625;1652
 75.688;1679
 75.750;1738
 75.813;1689
 75.875;1660
 75.938;1555
 76.000;1601
 76.063;1542
 76.125;1499
 76.188;1496
 76.250;1523
 76.313;1682
 76.375;1931
 76.438;2229
 76.500;2285
 76.563;2316
 76.625;2268
 76.688;2243
 76.750;2199
 76.813;1999
 76.875;1770
 76.938;1633
 77.000;1801
 77.063;1979
 77.125;2038
 77.188;2026
 77.250;1960
 77.313;1943
 77.375;1806
 77.438;1650
 77.500;1701
 77.563;1848
 77.625;1896
 77.688;1889
 77.750;1875
 77.813;1853
 77.875;1777
 77.938;1728
 78.000;1757
 78.063;1901
 78.125;1955
 78.188;1950
 78.250;1875
 78.313;1855
 78.375;1784
 78.438;1813
 78.500;1738
 78.563;1787
 78.625;1706
 78.688;1708
 78.750;1667
 78.813;1657
 78.875;1628
 78.938;1623
 79.000;1625
 79.063;1621
 79.125;1613
 79.188;1818
 79.250;1857
 79.313;1835
 79.375;1875
 79.438;1774
 79.500;1748
 79.563;1711
 79.625;1662
 79.688;1650
 79.750;1650
 79.813;1625
 79.875;1647
 79.938;1672
 80.000;1672
 80.063;1662
 80.125;1657
 80.188;1616
 80.250;1599
 80.313;1579
 80.375;1582
 80.438;1586
 80.500;1604
 80.563;1599
 80.625;1604
 80.688;1599
 80.750;1591
 80.813;1625
 80.875;1630
 80.938;1660
 81.000;1767
 81.063;2019
 81.125;2050
 81.188;2021
 81.250;1955
 81.313;1950
 81.375;1967
 81.438;1787
 81.500;1704
 81.563;1672
 81.625;1777
 81.688;1752
 81.750;1799
 81.813;1770
 81.875;1760
 81.938;1733
 82.000;1682
 82.063;1674
 82.125;1667
 82.188;1752
 82.250;1791
 82.313;1794
 82.375;1835
 82.438;1791
 82.500;1757
 82.563;1694
 82.625;1660
 82.688;1630
 82.750;1621
 82.813;1669
 82.875;1716
 82.938;1755
 83.000;1791
 83.063;1774
 83.125;1777
 83.188;1843
 83.250;1826
 83.313;1857
 83.375;1767
 83.438;2006
 83.500;2026
 83.563;2077
 83.625;1997
 83.688;1962
 83.750;1884
 83.813;1708
 83.875;1667
 83.938;1875
 84.000;2148
 84.063;2192
 84.125;2214
 84.188;2150
 84.250;2126
 84.313;2023
 84.375;1811
 84.438;1796
 84.500;1750
 84.563;1762
 84.625;1699
 84.688;1684
 84.750;1687
 84.813;1723
 84.875;1772
 84.938;1772
 85.000;1816
 85.063;1757
 85.125;1716
 85.188;1706
 85.250;1645
 85.313;1647
 85.375;1647
 85.438;1608
 85.500;1601
 85.563;1730
 85.625;2033
 85.688;2189
 85.750;2202
 85.813;2175
 85.875;2158
 85.938;2033
 86.000;1857
 86.063;1811
 86.125;1816
 86.188;1743
 86.250;1679
 86.313;1704
 86.375;1745
 86.438;1828
 86.500;1865
 86.563;1879
 86.625;1882
 86.688;1840
 86.750;1757
 86.813;1779
 86.875;1833
 86.938;1887
 87.000;1848
 87.063;1799
 87.125;1772
 87.188;1657
 87.250;1623
 87.313;1645
 87.375;1660
 87.438;1647
 87.500;1621
 87.563;1645
 87.625;1662
 87.688;1691
 87.750;1706
 87.813;1684
 87.875;1660
 87.938;1655
 88.000;1716
 88.063;1855
 88.125;1933
 88.188;1901
 88.250;1838
 88.313;1813
 88.375;1735
 88.438;1735
 88.500;1733
 88.563;1765
 88.625;1708
 88.688;1728
 88.750;1916
 88.813;1977
 88.875;1997
 88.938;1936
 89.000;1914
 89.063;1838
 89.125;1748
 89.188;1645
 89.250;1628
 89.313;1667
 89.375;1684
 89.438;1662
 89.500;1738
 89.563;1853
 89.625;1901
 89.688;1892
 89.750;1828
 89.813;1818
 89.875;1796
 89.938;1826
 90.000;1770
 90.063;1738
 90.125;1723
 90.188;1711
 90.250;1735
 90.313;1826
 90.375;2038
 90.438;2290
 90.500;2343
 90.563;2358
 90.625;2351
 90.688;2343
 90.750;2331
 90.813;2209
 90.875;1972
 90.938;1735
 91.000;1784
 91.063;1982
 91.125;2033
 91.188;2043
 91.250;1972
 91.313;1945
 91.375;1831
 91.438;1760
 91.500;1726
 91.563;1743
 91.625;1777
 91.688;1831
 91.750;1857
 91.813;1813
 91.875;1765
 91.938;1760
 92.000;1804
 92.063;1911
 92.125;1965
 92.188;1999
 92.250;1894
 92.313;1914
 92.375;1804
 92.438;1821
 92.500;1762
 92.563;1811
 92.625;1831
